,random,solver,dist
0,3.236,0.0,3.6564
1,0.4231,0.0,0.4231
2,0.4654,0.0,0.6523
3,0.168,0.0,0.0
4,1.4264,0.0,1.0234
5,0.0,0.0,0.3485
6,0.0,0.0,0.0
7,1.9648,0.0,0.0
8,3.2514,0.0,0.0
9,0.0,0.0,0.0
10,4.5805,0.0,8.6822
11,0.7374,0.0,0.0
12,0.0,0.0,0.0
13,0.3536,0.0,0.0
14,8.6321,2.9599,9.0166
15,1.0495,0.0,0.0
16,2.8457,0.0,0.7831
17,1.3587,0.0,0.0874
18,0.5183,0.0,0.1578
19,0.0,0.0,0.0
20,2.3874,0.0,0.0
21,0.5809,0.0,0.0
22,0.0,0.0,0.0
23,2.3874,0.0,0.0
24,0.5809,0.0,0.0
25,0.0,0.0,0.0
26,2.3874,0.0,0.0
27,0.5809,0.0,0.0
28,0.0,0.0,0.0
29,2.3874,0.0,0.0
